排名,代码,名称,综合评分,基本面,技术面,资金面,预测方向,目标价低,目标价高,风险等级
1,002001.SZ,新和成,77.1,73.8,95.0,57.2,看涨,28.55,30.66,中等风险
2,300770.SZ,新媒股份,74.9,68.7,95.0,56.5,看涨,45.42,48.37,中等风险
3,301061.SZ,匠心家居,74.1,75.2,86.3,55.3,看涨,87.70,92.23,中等风险
4,603558.SH,健盛集团,72.1,64.0,95.0,53.0,看涨,11.60,12.30,中等风险
5,002689.SZ,ST远智,72.0,64.8,89.4,59.2,看涨,3.87,4.21,中等风险
6,601198.SH,东兴证券,71.9,66.2,95.0,48.8,看涨,13.98,14.43,低风险
7,605077.SH,华康股份,71.9,63.9,95.0,52.5,看涨,15.77,16.37,中等风险
8,605098.SH,行动教育,71.7,62.9,95.0,53.2,看涨,46.64,49.73,中等风险
9,600576.SH,祥源文旅,71.2,62.9,95.0,51.3,看涨,6.49,6.90,中等风险
10,002959.SZ,小熊电器,70.9,63.5,95.0,49.1,看涨,43.60,45.68,中等风险
11,301107.SZ,瑜欣电子,70.8,68.0,89.4,49.2,看涨,30.24,31.58,中等风险
12,603766.SH,隆鑫通用,70.7,74.0,83.8,46.9,偏多震荡,15.17,16.03,中等风险
13,600873.SH,梅花生物,70.4,71.2,80.9,54.4,看涨,10.84,11.15,中等风险
14,600097.SH,开创国际,70.3,65.1,89.4,52.0,看涨,12.27,12.71,中等风险
15,300343.SZ,ST联创,70.2,63.2,89.4,54.6,看涨,6.15,6.42,中等风险
16,600082.SH,海泰发展,70.1,64.8,89.4,51.5,看涨,4.20,4.45,中等风险
17,300304.SZ,云意电气,70.1,59.2,89.4,60.6,看涨,13.11,13.82,中等风险
18,000582.SZ,北部湾港,69.9,54.9,95.0,58.8,看涨,9.86,10.29,中等风险
19,001319.SZ,铭科精技,69.9,60.8,89.4,57.1,看涨,29.49,31.30,中等风险
20,603810.SH,丰山集团,69.8,62.2,95.0,46.5,看涨,16.27,17.02,中等风险
21,688314.SH,康拓医疗,69.8,60.9,95.0,48.6,看涨,38.14,39.86,中等风险
22,600062.SH,华润双鹤,69.7,63.6,87.6,54.3,看涨,18.34,18.81,低风险
23,300850.SZ,新强联,69.7,71.2,83.8,47.6,偏多震荡,42.27,46.27,中等风险
24,002138.SZ,顺络电子,69.6,62.5,89.4,53.3,看涨,38.40,40.75,中等风险
25,301509.SZ,金凯生科,69.6,68.9,89.4,43.0,偏多震荡,38.79,40.60,中等风险
26,688089.SH,嘉必优,69.5,70.0,82.0,51.3,看涨,19.07,19.15,中等风险
27,601860.SH,紫金银行,69.4,58.2,95.0,51.4,看涨,2.75,2.84,低风险
28,603182.SH,嘉华股份,69.4,56.3,95.0,54.4,看涨,15.96,16.50,中等风险
29,003027.SZ,同兴科技,69.3,70.2,81.5,50.6,看涨,22.23,23.26,中等风险
30,600120.SH,浙江东方,69.2,59.0,95.0,49.6,看涨,6.51,6.92,中等风险
31,002014.SZ,永新股份,69.1,57.9,95.0,50.9,看涨,12.21,12.82,中等风险
32,688013.SH,天臣医疗,69.1,69.2,82.0,50.8,看涨,42.23,44.30,中等风险
33,600101.SH,明星电力,69.0,55.0,95.0,55.2,看涨,9.91,10.21,低风险
34,002233.SZ,塔牌集团,68.9,68.5,80.2,53.7,看涨,9.65,10.17,中等风险
35,300018.SZ,中元股份,68.9,67.7,80.9,54.0,看涨,12.05,13.17,中等风险
36,300873.SZ,海晨股份,68.9,60.9,89.4,53.0,看涨,24.00,25.34,中等风险
37,605577.SH,龙版传媒,68.9,57.1,95.0,51.2,看涨,13.65,14.52,中等风险
38,301220.SZ,亚香股份,68.8,71.8,82.0,45.6,看涨,36.54,39.24,中等风险
39,002511.SZ,中顺洁柔,68.6,66.0,83.8,51.4,看涨,8.09,8.70,中等风险
40,000719.SZ,中原传媒,68.5,64.0,80.9,58.2,看涨,12.89,13.70,中等风险
41,600983.SH,惠而浦,68.5,69.8,81.5,48.4,看涨,11.69,12.82,中等风险
42,600830.SH,香溢融通,68.4,56.0,95.0,50.8,看涨,9.53,9.99,中等风险
43,300484.SZ,蓝海华腾,68.4,66.8,83.8,49.5,看涨,19.47,20.80,中等风险
44,002517.SZ,恺英网络,68.3,68.5,74.0,59.9,看涨,23.53,26.86,高风险
45,000404.SZ,长虹华意,68.2,54.8,95.0,52.1,看涨,7.00,7.23,低风险
46,603733.SH,仙鹤股份,68.2,58.0,95.0,47.2,偏多震荡,23.93,24.88,中等风险
47,300824.SZ,北鼎股份,68.2,70.5,79.8,48.1,看涨,11.05,11.49,中等风险
48,603209.SH,兴通股份,68.1,56.5,95.0,49.0,看涨,15.29,16.00,中等风险
49,600098.SH,广州发展,67.9,63.9,81.5,55.1,看涨,6.83,7.17,中等风险
50,600111.SH,北方稀土,67.9,69.8,79.2,48.9,看涨,52.15,57.01,高风险
51,600742.SH,富维股份,67.9,56.4,91.2,53.8,看涨,9.76,9.92,低风险
52,001266.SZ,宏英智能,67.9,62.7,80.2,59.1,看涨,33.63,36.34,中等风险
