排名,代码,名称,综合评分,基本面,技术面,资金面,预测方向,目标价低,目标价高,风险等级
1,300770.SZ,新媒股份,74.9,68.7,95.0,56.5,看涨,45.42,48.37,中等风险
2,300343.SZ,ST联创,70.2,63.2,89.4,54.6,看涨,6.15,6.42,中等风险
3,300304.SZ,云意电气,70.1,59.2,89.4,60.6,看涨,13.11,13.82,中等风险
4,300850.SZ,新强联,69.7,71.2,83.8,47.6,偏多震荡,42.27,46.27,中等风险
5,300018.SZ,中元股份,68.9,67.7,80.9,54.0,看涨,12.05,13.17,中等风险
6,300873.SZ,海晨股份,68.9,60.9,89.4,53.0,看涨,24.00,25.34,中等风险
7,300484.SZ,蓝海华腾,68.4,66.8,83.8,49.5,看涨,19.47,20.80,中等风险
8,300824.SZ,北鼎股份,68.2,70.5,79.8,48.1,看涨,11.05,11.49,中等风险
9,300695.SZ,兆丰股份,67.8,72.0,73.2,53.6,看涨,79.57,87.60,中等风险
10,300733.SZ,西菱动力,67.2,59.3,86.3,53.3,看涨,18.00,19.36,中等风险
11,300211.SZ,*ST亿通,67.1,51.6,95.0,53.0,看涨,8.67,9.38,中等风险
12,300485.SZ,赛升药业,67.0,64.7,83.8,47.3,偏多震荡,10.86,11.66,中等风险
13,300740.SZ,水羊股份,66.7,55.5,83.8,60.8,看涨,23.09,24.91,中等风险
14,300241.SZ,瑞丰光电,66.4,54.1,89.4,54.0,看涨,6.05,6.30,中等风险
15,300296.SZ,利亚德,66.2,57.1,89.4,48.2,看涨,7.10,7.46,中等风险
16,300326.SZ,ST凯利,66.2,60.9,81.5,53.4,看涨,6.09,6.33,低风险
17,300292.SZ,吴通控股,66.0,56.4,89.4,48.6,看涨,4.71,5.00,中等风险
18,300585.SZ,奥联电子,65.9,55.2,89.4,50.1,偏多震荡,17.75,18.79,中等风险
19,300149.SZ,睿智医药,65.8,58.8,82.0,54.3,看涨,10.73,11.39,中等风险
20,300605.SZ,恒锋信息,65.8,56.0,87.6,50.9,看涨,16.26,17.18,中等风险
21,300718.SZ,长盛轴承,65.8,60.2,80.0,55.0,偏多震荡,81.19,85.93,中等风险
22,300462.SZ,ST华铭,65.7,56.4,83.8,55.1,看涨,11.83,12.58,中等风险
23,300512.SZ,中亚股份,65.1,54.7,89.4,47.8,偏多震荡,10.17,10.64,中等风险
24,300373.SZ,扬杰科技,65.0,64.5,70.2,58.6,看涨,81.70,90.87,高风险
25,300693.SZ,盛弘股份,64.7,57.4,86.3,46.0,偏多震荡,38.09,41.55,中等风险
26,300548.SZ,长芯博创,64.6,73.0,70.2,43.2,偏多震荡,145.52,174.88,高风险
27,300684.SZ,中石科技,64.6,69.8,70.2,48.3,看涨,54.61,59.25,高风险
28,300532.SZ,今天国际,64.5,49.4,91.2,51.1,看涨,12.25,12.85,中等风险
29,300938.SZ,信测标准,64.4,58.2,74.0,61.0,看涨,34.44,38.28,高风险
30,300607.SZ,拓斯达,64.4,52.8,82.5,57.7,看涨,31.03,33.76,中等风险
31,300643.SZ,万通智控,64.3,68.0,68.8,51.9,偏多震荡,19.14,20.62,中等风险
32,300030.SZ,阳普医疗,63.7,51.5,89.4,47.4,看涨,8.17,8.45,中等风险
33,300047.SZ,天源迪科,63.6,52.6,83.8,52.9,看涨,13.66,14.39,中等风险
34,300148.SZ,天舟文化,63.5,68.5,70.2,46.3,偏多震荡,5.04,5.66,高风险
35,300473.SZ,德尔股份,63.4,63.0,70.2,54.5,看涨,34.47,35.44,中等风险
36,300956.SZ,英力股份,63.4,56.6,83.8,45.6,偏多震荡,17.62,18.53,中等风险
37,300967.SZ,晓鸣股份,63.3,75.8,63.3,43.5,偏多震荡,18.20,21.74,高风险
38,300240.SZ,飞力达,63.2,55.2,81.5,50.4,看涨,7.76,8.12,中等风险
39,300314.SZ,戴维医疗,63.2,55.9,80.2,51.1,看涨,14.02,14.62,中等风险
40,300214.SZ,日科化学,63.0,53.4,83.8,49.3,看涨,7.18,7.66,中等风险
41,300105.SZ,龙源技术,62.8,58.6,75.3,52.1,看涨,7.27,7.73,中等风险
42,300288.SZ,朗玛信息,62.8,48.2,89.4,48.8,看涨,14.29,15.05,中等风险
43,300193.SZ,佳士科技,62.6,56.9,80.2,47.2,偏多震荡,9.13,9.73,中等风险
44,300886.SZ,华业香料,62.6,56.7,80.9,46.5,看涨,28.71,29.76,中等风险
45,300139.SZ,晓程科技,62.5,64.2,72.5,45.9,偏多震荡,53.85,74.07,高风险
46,300145.SZ,南方泵业,62.5,54.5,82.5,47.3,看涨,4.55,4.82,中等风险
47,300153.SZ,科泰电源,62.5,58.5,70.2,58.2,看涨,32.93,36.74,高风险
48,300335.SZ,迪森股份,62.5,55.6,80.2,48.7,看涨,6.08,6.27,中等风险
49,300441.SZ,鲍斯股份,62.5,52.0,83.8,49.6,震荡整理,7.70,8.04,低风险
50,300499.SZ,高澜股份,62.3,58.7,72.7,53.4,看涨,30.23,29.28,高风险
51,300010.SZ,豆神教育,62.0,52.6,73.6,60.9,看涨,7.17,7.90,高风险
52,300494.SZ,盛天网络,62.0,60.2,74.0,48.2,偏多震荡,13.52,14.71,高风险
53,300399.SZ,天利科技,61.9,52.6,83.8,46.0,偏多震荡,25.80,28.34,中等风险
54,300750.SZ,宁德时代,61.9,64.2,70.3,46.5,震荡整理,352.17,378.51,中等风险
55,300357.SZ,我武生物,61.7,65.0,62.9,54.7,偏多震荡,27.15,28.05,中等风险
56,300547.SZ,川环科技,61.7,57.5,69.9,56.9,偏多震荡,35.16,38.57,高风险
57,300470.SZ,中密控股,61.7,57.2,70.2,56.9,看涨,37.75,39.25,中等风险
58,300150.SZ,世纪瑞尔,61.6,54.4,81.5,45.4,看涨,5.79,6.08,中等风险
59,300638.SZ,广和通,61.6,43.8,87.6,53.5,看涨,29.33,32.05,中等风险
60,300620.SZ,光库科技,61.6,61.0,74.0,45.2,偏多震荡,153.32,188.70,高风险
61,300493.SZ,润欣科技,61.3,56.9,70.2,56.0,看涨,20.55,20.98,中等风险
62,300972.SZ,万辰集团,61.3,73.5,60.9,42.3,偏多震荡,193.14,222.86,高风险
63,300119.SZ,瑞普生物,61.2,67.0,62.9,49.7,偏多震荡,18.60,19.86,中等风险
64,300251.SZ,光线传媒,61.2,79.0,48.8,49.9,震荡整理,24.57,29.87,高风险
65,300371.SZ,汇中股份,61.2,67.5,60.7,52.0,看涨,14.08,14.10,中等风险
66,300923.SZ,研奥股份,61.2,56.8,75.3,48.7,看涨,28.46,29.59,中等风险
67,300852.SZ,四会富仕,61.1,60.0,70.2,50.1,看涨,45.07,49.82,高风险
68,300040.SZ,九洲集团,61.0,52.1,81.5,46.5,看涨,6.72,7.11,中等风险
69,300951.SZ,博硕科技,61.0,57.0,74.0,49.1,看涨,37.28,38.22,中等风险
70,300834.SZ,星辉环材,61.0,41.0,89.4,53.1,看涨,24.66,26.27,中等风险
71,300476.SZ,胜宏科技,60.9,72.5,59.8,43.7,震荡整理,246.47,273.29,高风险
72,300384.SZ,三联虹普,60.9,50.5,74.0,59.2,看涨,18.24,19.01,中等风险
73,300988.SZ,津荣天宇,60.8,59.4,64.2,58.4,偏多震荡,27.45,27.60,中等风险
74,300206.SZ,理邦仪器,60.7,67.0,58.4,53.7,看涨,14.58,14.90,中等风险
75,300971.SZ,博亚精工,60.7,71.0,57.5,48.6,偏多震荡,25.38,26.80,中等风险
76,300008.SZ,天海防务,60.6,65.2,57.9,56.9,偏多震荡,8.88,9.26,高风险
77,300043.SZ,星辉娱乐,60.6,65.8,65.3,45.7,偏多震荡,6.10,7.10,高风险
78,300553.SZ,集智股份,60.5,64.2,65.0,48.4,看涨,41.77,45.49,中等风险
79,300645.SZ,正元智慧,60.5,38.2,95.0,48.0,偏多震荡,19.32,20.78,中等风险
80,300464.SZ,星徽股份,60.4,48.4,83.8,47.0,偏多震荡,6.59,7.08,中等风险
81,300488.SZ,恒锋工具,60.4,59.9,64.1,56.1,看涨,32.68,35.26,中等风险
82,300556.SZ,丝路视觉,60.4,40.3,95.0,44.0,偏多震荡,20.63,21.76,中等风险
83,300408.SZ,三环集团,60.4,63.2,57.0,60.5,看涨,54.88,54.07,高风险
84,300802.SZ,矩子科技,60.4,56.8,70.2,52.4,看涨,21.63,22.22,中等风险
85,300231.SZ,银信科技,60.3,58.0,70.2,50.3,看涨,11.25,11.69,中等风险
86,300388.SZ,节能国祯,60.3,50.8,75.9,53.8,看涨,8.17,8.51,低风险
87,300394.SZ,天孚通信,60.3,71.2,46.0,62.9,偏多震荡,279.05,344.11,高风险
88,300907.SZ,康平科技,60.3,50.4,81.5,46.3,偏多震荡,29.76,31.85,中等风险
89,300353.SZ,东土科技,60.2,39.1,87.5,55.7,看涨,23.36,23.69,中等风险
90,300243.SZ,瑞丰高材,60.2,41.9,89.4,48.5,偏多震荡,11.30,11.72,中等风险
