排名,代码,名称,综合评分,基本面,技术面,资金面,预测方向,目标价低,目标价高,风险等级
1,002001.SZ,新和成,77.1,73.8,95.0,57.2,看涨,28.55,30.66,中等风险
2,600111.SH,北方稀土,67.9,69.8,79.2,48.9,看涨,52.15,57.01,高风险
3,601377.SH,兴业证券,67.1,66.8,80.9,48.4,偏多震荡,6.73,7.07,中等风险
4,601919.SH,中远海控,66.7,63.9,76.6,57.5,看涨,14.21,14.69,低风险
5,600016.SH,民生银行,66.1,59.9,88.2,45.0,偏多震荡,3.88,3.99,低风险
6,600519.SH,贵州茅台,66.0,65.2,81.5,45.7,偏多震荡,1452.02,1568.00,中等风险
7,600233.SH,圆通速递,65.9,57.9,81.5,57.0,看涨,17.52,18.35,中等风险
8,601888.SH,中国中免,65.8,53.6,86.3,56.5,看涨,92.14,97.67,中等风险
9,601995.SH,中金公司,65.4,68.5,69.7,54.6,看涨,34.35,35.44,低风险
10,001391.SZ,国货航,65.4,70.7,70.3,49.9,偏多震荡,6.05,6.06,低风险
11,603259.SH,药明康德,65.2,74.5,70.2,43.3,偏多震荡,99.69,98.78,中等风险
12,000708.SZ,中信特钢,64.7,60.5,78.1,52.7,看涨,15.07,16.53,中等风险
13,600958.SH,东方证券,64.6,67.2,65.8,58.7,看涨,10.12,10.52,低风险
14,000895.SZ,双汇发展,64.6,58.9,83.0,47.8,看涨,26.12,26.85,低风险
15,000538.SZ,云南白药,64.5,64.8,70.6,55.6,看涨,55.88,57.63,低风险
16,000768.SZ,中航西飞,64.5,45.9,89.4,59.6,看涨,29.50,31.22,中等风险
17,000999.SZ,华润三九,64.3,59.2,83.8,45.1,偏多震荡,28.26,29.43,中等风险
18,600015.SH,华夏银行,63.9,59.0,82.6,45.4,偏多震荡,6.65,6.58,低风险
19,600999.SH,招商证券,63.7,60.0,75.9,52.6,看涨,16.60,17.30,低风险
20,605499.SH,东鹏饮料,63.6,64.2,75.9,45.3,偏多震荡,253.51,276.09,中等风险
21,600674.SH,川投能源,63.6,53.8,81.1,54.8,看涨,13.69,14.18,低风险
22,000333.SZ,美的集团,63.5,64.2,75.9,44.9,偏多震荡,77.36,80.74,低风险
23,601018.SH,宁波港,63.5,55.6,81.5,51.0,看涨,3.98,4.18,中等风险
24,000425.SZ,徐工机械,63.4,55.5,80.9,51.4,看涨,11.49,11.48,中等风险
25,601100.SH,恒立液压,63.4,60.2,81.5,43.3,偏多震荡,113.33,123.75,中等风险
26,601628.SH,中国人寿,63.2,71.7,57.0,58.4,看涨,46.27,50.02,中等风险
27,600989.SH,宝丰能源,63.2,70.2,59.7,57.1,看涨,22.25,24.30,高风险
28,600690.SH,海尔智家,63.1,61.0,67.4,60.5,看涨,25.35,26.49,低风险
29,601006.SH,大秦铁路,62.9,59.8,75.9,49.5,看涨,4.99,5.12,低风险
30,601077.SH,渝农商行,62.9,57.9,71.6,58.9,看涨,6.52,6.49,中等风险
31,600919.SH,江苏银行,62.8,63.9,71.7,48.7,偏多震荡,10.16,10.62,低风险
32,002142.SZ,宁波银行,62.8,63.9,74.1,45.1,偏多震荡,30.60,32.77,中等风险
33,601825.SH,沪农商行,62.8,54.2,81.1,50.9,看涨,8.34,8.78,中等风险
34,601878.SH,浙商证券,62.8,65.0,65.8,55.0,偏多震荡,10.56,10.80,低风险
35,002415.SZ,海康威视,62.4,63.4,72.5,46.5,偏多震荡,31.90,33.08,低风险
36,601328.SH,交通银行,62.1,57.9,67.4,61.6,看涨,6.56,6.85,低风险
37,601816.SH,京沪高铁,62.1,59.4,67.4,58.9,看涨,4.85,5.03,低风险
38,600150.SH,中国船舶,62.0,65.5,60.7,58.4,看涨,35.55,36.60,中等风险
39,601059.SH,信达证券,62.0,59.6,75.3,47.1,偏多震荡,17.56,17.98,低风险
40,300750.SZ,宁德时代,61.9,64.2,70.3,46.5,震荡整理,352.17,378.51,中等风险
41,601318.SH,中国平安,61.9,63.6,60.4,61.3,看涨,63.90,68.90,中等风险
42,001965.SZ,招商公路,61.9,63.2,67.4,52.0,看涨,9.49,9.81,低风险
43,601877.SH,正泰电器,61.8,59.2,70.2,54.3,看涨,30.54,32.50,中等风险
44,600023.SH,浙能电力,61.7,58.4,72.6,51.8,看涨,4.92,5.02,低风险
45,600377.SH,宁沪高速,61.7,59.2,75.9,46.0,偏多震荡,11.97,12.42,低风险
46,601298.SH,青岛港,61.6,63.6,66.9,50.8,看涨,8.86,9.58,中等风险
47,600900.SH,长江电力,61.4,55.5,66.9,63.2,看涨,25.72,26.71,低风险
48,601668.SH,中国建筑,61.4,52.2,72.9,60.1,看涨,4.95,5.17,低风险
49,002709.SZ,天赐材料,61.4,55.2,73.7,54.1,看涨,41.96,44.62,中等风险
50,600009.SH,上海机场,61.3,64.3,63.5,53.5,偏多震荡,30.42,31.38,低风险
51,600085.SH,同仁堂,61.3,53.0,76.6,53.1,看涨,30.14,31.72,中等风险
52,300251.SZ,光线传媒,61.2,79.0,48.8,49.9,震荡整理,24.57,29.87,高风险
53,300476.SZ,胜宏科技,60.9,72.5,59.8,43.7,震荡整理,246.47,273.29,高风险
54,002600.SZ,领益智造,60.9,59.8,69.0,51.3,偏多震荡,15.06,15.94,中等风险
55,002916.SZ,深南电路,60.8,64.8,66.5,46.6,偏多震荡,225.38,259.31,高风险
56,600031.SH,三一重工,60.7,58.0,73.5,47.0,偏多震荡,22.30,23.94,中等风险
57,601939.SH,建设银行,60.5,55.9,67.4,58.0,看涨,8.60,8.99,低风险
58,603288.SH,海天味业,60.5,62.2,67.4,48.0,偏多震荡,34.65,36.63,中等风险
59,300408.SZ,三环集团,60.4,63.2,57.0,60.5,看涨,54.88,54.07,高风险
60,300394.SZ,天孚通信,60.3,71.2,46.0,62.9,偏多震荡,279.05,344.11,高风险
61,600415.SH,小商品城,60.3,64.5,54.2,62.0,偏多震荡,14.95,16.00,中等风险
62,601601.SH,中国太保,60.2,64.3,56.0,59.6,看涨,42.35,45.66,中等风险
63,601169.SH,北京银行,60.0,56.2,66.9,56.4,看涨,5.35,5.42,低风险
64,601838.SH,成都银行,60.0,60.9,67.4,48.0,偏多震荡,15.95,16.61,低风险
65,002736.SZ,国信证券,60.0,70.5,59.8,43.6,震荡整理,12.10,12.66,低风险
66,601857.SH,中国石油,59.9,60.2,60.0,59.4,看涨,10.26,11.15,中等风险
67,601988.SH,中国银行,59.7,56.8,67.6,53.1,看涨,5.26,5.45,低风险
68,601998.SH,中信银行,59.7,56.2,67.4,54.5,看涨,7.21,7.65,中等风险
69,300033.SZ,同花顺,59.6,73.8,54.2,44.4,震荡整理,323.88,350.98,中等风险
70,300866.SZ,安克创新,59.6,66.0,62.9,44.7,震荡整理,95.39,101.99,中等风险
71,601225.SH,陕西煤业,59.5,54.8,75.3,44.7,偏多震荡,22.11,22.88,中等风险
72,600938.SH,中国海油,59.5,65.5,60.9,47.8,偏多震荡,33.34,36.90,高风险
73,601916.SH,浙商银行,59.5,53.5,72.6,50.6,偏多震荡,2.93,2.96,低风险
74,688008.SH,澜起科技,59.4,70.0,49.2,56.6,偏多震荡,155.78,187.52,高风险
75,601211.SH,国泰海通,59.3,68.5,50.0,57.7,偏多震荡,19.12,20.10,中等风险
76,601901.SH,方正证券,59.3,65.0,54.2,57.3,偏多震荡,7.50,7.78,低风险
77,688169.SH,石头科技,59.3,59.8,67.4,47.2,震荡整理,143.93,152.47,中等风险
78,002384.SZ,东山精密,59.2,53.1,67.2,57.8,看涨,74.56,79.16,高风险
79,601336.SH,新华保险,59.2,72.5,44.4,58.8,偏多震荡,76.69,82.78,中等风险
80,601881.SH,中国银河,59.2,68.5,51.4,55.4,偏多震荡,14.52,15.14,低风险
81,600061.SH,国投资本,59.1,59.4,66.9,47.9,偏多震荡,7.37,7.79,中等风险
82,601456.SH,国联民生,58.7,62.0,59.7,51.9,偏多震荡,9.68,9.95,低风险
83,300274.SZ,阳光电源,58.6,73.8,44.0,54.9,震荡整理,140.62,157.70,高风险
84,002028.SZ,思源电气,58.6,67.3,46.0,62.5,偏多震荡,205.50,203.51,高风险
85,000792.SZ,盐湖股份,58.5,68.8,51.1,52.3,偏多震荡,32.02,35.30,高风险
86,601788.SH,光大证券,58.4,61.0,59.7,52.4,偏多震荡,16.57,17.15,低风险
87,000938.SZ,紫光股份,58.2,51.8,65.3,58.7,偏多震荡,25.03,26.72,中等风险
88,300979.SZ,华利集团,58.0,61.1,62.4,47.0,偏多震荡,47.05,49.57,中等风险
89,601066.SH,中信建投,57.8,67.5,47.7,56.3,偏多震荡,23.60,24.44,低风险
90,603501.SH,豪威集团,57.7,63.5,51.4,57.4,震荡整理,112.53,119.11,中等风险
91,002027.SZ,分众传媒,57.7,67.5,48.2,55.5,偏多震荡,7.05,7.51,中等风险
92,600887.SH,伊利股份,57.6,58.0,56.0,59.2,偏多震荡,26.17,27.33,低风险
93,000807.SZ,云铝股份,57.6,62.6,56.8,50.9,偏多震荡,27.96,32.44,高风险
94,601360.SH,三六零,57.6,51.5,63.5,59.1,看涨,12.44,13.22,高风险
95,601111.SH,中国国航,57.6,43.9,80.0,48.3,偏多震荡,8.31,9.14,中等风险
96,300502.SZ,新易盛,57.4,76.8,46.4,41.6,震荡整理,331.54,400.68,高风险
97,000157.SZ,中联重科,57.3,63.9,55.6,49.3,偏多震荡,9.37,9.45,中等风险
98,600066.SH,宇通客车,57.3,70.0,50.5,46.5,震荡整理,30.80,33.04,中等风险
99,002601.SZ,龙佰集团,57.3,47.6,73.6,50.0,看涨,20.66,22.90,高风险
100,000568.SZ,泸州老窖,57.2,67.5,50.4,50.2,震荡整理,111.12,121.38,中等风险
101,600918.SH,中泰证券,57.1,63.1,53.7,52.1,震荡整理,6.21,6.43,低风险
102,601009.SH,南京银行,57.0,65.8,51.9,50.0,震荡整理,11.03,11.59,中等风险
103,601186.SH,中国铁建,57.0,52.5,62.9,56.1,看涨,7.33,7.38,低风险
104,000002.SZ,万科Ａ,57.0,32.5,82.0,61.1,看涨,4.84,5.09,中等风险
105,600018.SH,上港集团,57.0,64.7,47.7,57.6,偏多震荡,4.96,5.11,低风险
106,002493.SZ,荣盛石化,56.9,45.5,69.4,57.7,看涨,14.02,15.63,高风险
107,002920.SZ,德赛西威,56.9,65.8,55.6,44.5,震荡整理,118.67,126.59,中等风险
108,300832.SZ,新产业,56.9,62.5,54.2,51.9,震荡整理,50.64,53.46,中等风险
109,600176.SH,中国巨石,56.8,66.5,53.0,46.4,震荡整理,24.06,27.40,高风险
110,002475.SZ,立讯精密,56.7,62.5,46.1,62.3,震荡整理,49.03,52.57,中等风险
111,688041.SH,海光信息,56.7,63.6,49.6,55.6,偏多震荡,249.81,283.11,高风险
112,600028.SH,中国石化,56.7,48.0,74.1,46.1,偏多震荡,6.23,6.59,中等风险
113,600050.SH,中国联通,56.7,53.4,62.9,53.4,偏多震荡,5.06,4.96,低风险
114,601021.SH,春秋航空,56.7,55.6,66.9,44.3,偏多震荡,55.63,59.77,中等风险
115,688009.SH,中国通号,56.6,52.6,61.6,56.0,看涨,5.43,5.68,低风险
116,000625.SZ,长安汽车,56.5,54.2,65.0,48.2,偏多震荡,10.87,11.21,低风险
117,600482.SH,中国动力,56.5,62.8,59.8,41.7,偏多震荡,29.57,32.95,高风险
118,000963.SZ,华东医药,56.4,54.9,59.0,55.2,偏多震荡,35.68,37.32,低风险
119,601633.SH,长城汽车,56.4,59.1,56.0,52.5,偏多震荡,20.27,21.07,低风险
120,600845.SH,宝信软件,56.4,46.5,74.0,47.7,偏多震荡,23.37,24.41,中等风险
121,600000.SH,浦发银行,56.2,59.6,51.4,57.5,偏多震荡,9.66,10.12,低风险
122,000408.SZ,藏格矿业,56.2,68.7,50.0,44.8,震荡整理,77.72,87.92,高风险
123,601607.SH,上海医药,56.2,63.1,51.8,51.2,震荡整理,17.00,17.32,低风险
124,300124.SZ,汇川技术,56.1,60.5,50.0,57.7,偏多震荡,73.59,79.11,中等风险
125,600010.SH,包钢股份,56.1,54.1,63.5,48.9,偏多震荡,2.47,2.77,高风险
126,600029.SH,南方航空,56.1,50.4,68.0,48.6,看涨,7.37,8.20,高风险
127,688187.SH,时代电气,56.1,57.6,58.4,50.5,看涨,56.31,60.90,中等风险
128,600161.SH,天坛生物,56.0,57.8,54.2,55.5,震荡整理,16.03,16.57,低风险
129,600036.SH,招商银行,55.8,58.2,50.0,60.1,偏多震荡,38.23,39.89,低风险
130,300803.SZ,指南针,55.8,55.4,62.9,46.3,震荡整理,110.83,119.59,中等风险
131,601058.SH,赛轮轮胎,55.8,59.4,44.4,66.0,震荡整理,14.79,16.05,中等风险
132,300059.SZ,东方财富,55.7,59.0,60.1,44.4,震荡整理,21.88,22.86,低风险
133,600489.SH,中金黄金,55.7,63.2,44.1,60.1,偏多震荡,28.10,34.20,高风险
134,601728.SH,中国电信,55.7,52.4,57.0,59.3,偏多震荡,5.62,5.89,低风险
135,600600.SH,青岛啤酒,55.7,61.4,47.2,58.3,震荡整理,59.92,63.16,中等风险
136,600011.SH,华能国际,55.6,66.0,41.6,58.4,偏多震荡,6.83,7.11,低风险
137,000975.SZ,山金国际,55.5,71.5,44.1,45.9,震荡整理,26.52,32.54,高风险
138,002230.SZ,科大讯飞,55.4,50.2,58.4,59.7,看涨,55.61,60.87,中等风险
139,002050.SZ,三花智控,55.3,61.5,56.1,44.3,震荡整理,51.22,55.74,中等风险
140,600809.SH,山西汾酒,55.3,62.8,47.5,54.4,震荡整理,158.45,173.23,中等风险
141,603195.SH,公牛集团,55.3,65.2,51.9,44.4,震荡整理,41.54,44.00,中等风险
142,601600.SH,中国铝业,55.2,66.2,38.8,60.6,偏多震荡,11.72,13.66,高风险
143,000166.SZ,申万宏源,55.2,66.5,48.1,47.1,偏空震荡,4.93,5.11,低风险
144,600926.SH,杭州银行,55.1,65.0,44.4,54.1,震荡整理,15.84,16.62,低风险
145,601689.SH,拓普集团,55.1,50.9,59.8,55.2,偏多震荡,68.73,75.29,中等风险
146,601898.SH,中煤能源,55.1,55.4,51.6,59.5,偏多震荡,13.91,14.55,高风险
147,002422.SZ,科伦药业,55.0,50.8,66.9,45.0,震荡整理,30.46,32.66,中等风险
148,600276.SH,恒瑞医药,54.9,62.6,50.0,49.4,偏空震荡,56.49,59.97,中等风险
149,600886.SH,国投电力,54.9,57.2,51.4,56.3,偏多震荡,12.54,13.02,低风险
150,600039.SH,四川路桥,54.9,55.9,56.0,51.6,偏多震荡,9.50,9.99,中等风险
151,601088.SH,中国神华,54.7,56.4,60.0,44.4,震荡整理,39.89,43.01,中等风险
152,002463.SZ,沪电股份,54.7,71.0,44.0,43.7,偏空震荡,65.61,70.73,高风险
153,002648.SZ,卫星化学,54.7,54.1,55.6,54.3,偏多震荡,21.61,24.55,高风险
154,601236.SH,红塔证券,54.7,58.7,54.2,48.8,震荡整理,7.93,8.19,低风险
155,600219.SH,南山铝业,54.6,63.4,42.5,57.5,偏多震荡,6.38,7.54,高风险
156,300347.SZ,泰格医药,54.6,56.0,60.0,44.8,震荡整理,57.12,64.64,高风险
157,000651.SZ,格力电器,54.5,62.2,52.0,45.8,震荡整理,37.81,38.93,低风险
158,600460.SH,士兰微,54.5,64.8,49.6,45.0,震荡整理,29.84,33.68,高风险
159,601117.SH,中国化学,54.5,57.4,47.7,59.3,看涨,8.24,8.94,中等风险
160,605117.SH,德业股份,54.5,62.6,55.0,41.0,震荡整理,89.89,99.31,高风险
161,000338.SZ,潍柴动力,54.3,54.6,50.2,59.5,偏多震荡,25.84,25.72,高风险
162,688271.SH,联影医疗,54.3,62.5,47.2,51.2,震荡整理,122.68,129.32,中等风险
163,000977.SZ,浪潮信息,54.3,52.4,51.5,61.2,偏多震荡,63.71,67.50,中等风险
164,601319.SH,中国人保,54.3,63.6,38.8,61.3,偏多震荡,8.62,9.14,中等风险
165,600406.SH,国电南瑞,54.2,53.8,60.7,45.6,偏多震荡,25.32,26.94,中等风险
166,600019.SH,宝钢股份,54.2,63.8,38.8,60.5,震荡整理,6.69,7.15,中等风险
167,300413.SZ,芒果超媒,54.2,44.8,70.2,46.7,偏多震荡,25.37,27.77,高风险
168,600522.SH,中天科技,54.1,57.0,57.0,45.4,震荡整理,22.62,26.22,高风险
169,600115.SH,中国东航,54.0,50.0,65.0,44.9,震荡整理,5.63,6.23,高风险
170,601985.SH,中国核电,53.9,53.9,54.2,53.5,震荡整理,8.41,8.63,低风险
171,300442.SZ,润泽科技,53.9,68.8,42.8,45.5,震荡整理,70.06,82.94,高风险
172,601808.SH,中海油服,53.9,60.5,46.9,53.3,偏多震荡,14.97,16.63,高风险
173,600027.SH,华电国际,53.7,59.0,47.7,53.7,震荡整理,4.77,4.93,低风险
